course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
6390,Crestview Country Club,Agawam,Massachusetts,Shoemaker Ln,01001,-72.6584404,42.0508369,18,Private,Open: 4/01 Closed: 11/30,4,11,72,6902,128,73.40,72,6695,124,72.30,73,5571,110,66.70
6393,Hickory Ridge Country Club,Amherst,Massachusetts,191 W Pomeroy Ln,01002,-72.528673,42.343113,18,Semi-Private,Open: 4/01 Closed: 12/01,4,11,74,6794,129,72.50,74,6427,128,71.10,74,5340,117,70.40
6445,Chicopee Country Club,Chicopee,Massachusetts,1290 Burnett Rd,01020,-72.519452,42.182502,18,Public,Open: 4/01 Closed: 11/30,4,11,71,6742,126,73.00,71,6109,120,70.40,71,5123,115,72.40
6466,Elmcrest Country Club,East Longmeadow,Massachusetts,105 Somersville Rd,01028,-72.47500939999999,42.0364835,18,Private,Open: 4/01 Closed: 11/30,4,11,70,6347,120,70.20,70,5904,115,68.10,72,5363,119,70.90
6474,Oak Ridge Golf Club,Feeding Hills,Massachusetts,850 S Westfield St,01030,-72.67516719999999,42.0398023,18,Semi-Private,Open: 3/15 Closed: 11/15,3,11,70,6754,124,71.20,70,6390,120,70.00,70,5297,124,70.00
6476,St. Anne Country Club,Feeding Hills,Massachusetts,781 Shoemaker Ln,01030,-72.664205,42.05488099999999,18,Public,Open: 4/01 Closed: 11/30,4,11,72,6608,116,70.80,72,6412,115,69.80,72,5565,115,70.00
6487,Westover Golf Club,Granby,Massachusetts,S St,01033,-72.52762,42.22972499999999,18,Public,Open: 4/01 Closed: 11/15,4,11,72,7025,131,73.70,72,6610,129,71.70,72,5600,113,72.00
6494,Hampden Country Club,Hampden,Massachusetts,128 Wilbraham Rd,01036,-72.43736489999999,42.0651169,18,Public,Open: 4/01 Closed: 11/30,4,11,72,6833,129,72.50,72,6349,126,70.10,72,5283,113,72.30
6505,Holyoke Country Club,Holyoke,Massachusetts,Route 5 Smiths Ferry Rd,01040,-72.60393549999999,42.2711706,9,Semi-Private,Open: 4/01 Closed: 11/30,4,11,36,3239,118,34.00,36,3070,118,33.80,38,2680,118,33.20
6532,Ludlow Country Club,Ludlow,Massachusetts,Tony Lema Dr,01056,-72.4613796,42.1613746,18,Private,Open: 4/01 Closed: 12/01,4,11,72,6561,123,70.80,72,6201,120,68.80,72,5712,116,71.70
6596,Quail Hollow Country Club,Oakham,Massachusetts,1822 Turnpike Rd,01068,-72.08924859999999,42.3616256,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,35,2930,116,34.40,35,2800,112,33.30,35,2226,110,34.40
6649,The Orchards,South Hadley,Massachusetts,Silverwood Terrace,01075,-72.5678564,42.2639031,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,71,6424,127,71.30,71,6128,125,70.00,72,5359,124,71.30
6653,Edgewood Golf Club,Southwick,Massachusetts,161 Sheep Pasture Rd,01077,-72.76773760000002,42.0406566,18,Semi-Private,Open: 3/14 Closed: 11/14,3,11,71,6510,115,69.10,71,6045,113,67.60,71,5580,109,71.80
6702,East Mountain Country Club,Westfield,Massachusetts,1458 E Mountain Rd,01085,-72.6973483,42.15758090000001,18,Public,Open: 4/01 Closed: 12/01,4,11,71,6118,107,67.50,71,5819,105,66.40,71,4564,101,65.30
6703,Shaker Farms Country Club,Westfield,Massachusetts,Shaker Rd,01086,-72.74218119999999,42.0907708,18,Semi-Private,Open: 4/15 Closed: 10/31,4,10,72,6804,130,72.60,72,6567,125,71.90,72,5345,114,69.40
6704,Tekoa Country Club,Westfield,Massachusetts,459 Russell Rd,01085,-72.7813259,42.13294760000001,18,Public,Open: 4/01 Closed: 11/30,4,11,71,6275,118,69.60,71,5965,116,68.20,74,5369,116,71.00
6712,Springfield Country Club,West Springfield,Massachusetts,1375 Elm St,01089,-72.630089,42.123449,18,Private,Open: 4/01 Closed: 12/01,4,11,72,6531,131,71.50,72,6215,129,70.10,72,5133,119,69.60
6716,Country Club of Wilbraham,Wilbraham,Massachusetts,859 Stoney Hill Rd,01095,-72.4570233,42.1124849,9,Semi-Private,year round,1,12,36,3253,108,34.70,36,3097,108,34.70,37,2849,120,34.70
3978,Antioch Golf Club,Antioch,Illinois,40150 N Route 59,60002,-88.1117543,42.446575,18,Public,year round,1,12,71,6251,117,69.70,71,6029,114,68.20,70,5456,112,72.40
3982,Arlington Lakes Golf Club,Arlington Heights,Illinois,1211 S New Wilkes Rd,60005,-88.0024796,42.0625188,18,Public,Open: 3/01 Closed: 11/01,3,10,68,5331,115,65.80,68,4976,110,64.10,68,4648,113,66.70
4159,Fox Run Golf Links,Elk Grove Village,Illinois,333 Plum Grove Rd,60007,-88.05995879999999,42.0141756,18,Public,Open: 3/01 Closed: 11/15,3,11,70,6287,117,70.20,70,5925,113,68.60,70,5288,114,69.90
7676,Green Lea Golf Course,Albert Lea,Minnesota,101 E Richway Dr,56007,-93.3681987,43.66433259999999,18,Public,year round,1,12,72,6166,122,70.20,72,5970,120,69.30,72,5404,126,71.40
7937,Mankato Golf Club,Mankato,Minnesota,Golf Club Rd,56002,-93.9776687,44.1920623,18,Private,Open: 4/01 Closed: 11/01,4,10,71,6215,130,70.20,71,5990,128,69.20,71,5009,126,68.90
7939,Regulation at Terrace View Golf Course,Mankato,Minnesota,Hwy 22 S,56001,-93.94919999999999,44.1635237,9,Public,Open: 4/01 Closed: 11/15,4,11,36,3304,118,35.50,36,3093,114,34.50,36,2464,110,34.00
8001,North Links Golf Course,North Mankato,Minnesota,RFD 2,56003,-94.033845,44.1732996,18,Public,Open: 4/01 Closed: 10/31,4,10,72,6073,117,69.10,72,5624,113,67.00,72,4659,114,67.00
855,San Luis Rey Downs Golf & Country Club,Bonsall,California,31474 Golf Club Dr,92003,-117.2138012,33.2869935,18,Resort,year round,1,12,72,6750,128,72.60,72,6365,122,70.50,72,5493,124,72.10
856,Rams Hill Country Club,Borrego Springs,California,1881 Rams Hill Rd,92004,-116.3233295,33.1938516,18,Semi-Private,year round,1,12,72,6866,130,72.90,72,6328,123,70.10,72,5694,128,73.40
858,De Anza Desert Country Club,Borrego Springs,California,509 Catarina Dr,92004,-116.382771,33.28875,18,Private,year round,1,12,72,6778,129,73.00,72,6373,120,70.50,72,5557,118,71.40
888,Regulation at Marine Memorial Golf Course,Camp Pendleton,California,Marine Corps Base Bldg 18415,92055,-117.3288745,33.2678797,18,Military,year round,1,12,72,6711,127,72.30,72,6443,117,70.10,72,5716,125,73.10
891,Aviara Golf Club,Carlsbad,California,7447 Batiquitos Dr,92009,-117.2852093,33.0931658,18,Resort,year round,1,12,72,7007,137,74.20,72,6591,130,71.80,72,5007,119,69.10
991,Ivanhoe at Cottonwood at Rancho San Diego,El Cajon,California,3121 Willow Glen Dr,92019,-116.9050721,32.7534411,18,Public,year round,1,12,72,6837,126,72.60,72,6525,116,70.50,72,5741,121,72.40
992,Oak Glen at Singing Hills Golf Resort,El Cajon,California,3007 Dehesa Rd,92019,-116.8844086,32.7769885,18,Resort,year round,1,12,72,6597,122,71.30,72,6489,121,70.70,72,5549,124,71.40
995,Willow Glen at Singing Hills Golf Resort,El Cajon,California,3007 Dehesa Rd,92019,-116.8844086,32.7769885,18,Resort,year round,1,12,72,6605,124,72.00,72,6207,113,69.50,72,5585,122,72.80
1006,Encinitas Ranch Golf Course,Encinitas,California,1275 Quail Gardens Dr,92024,-117.2755109,33.0684443,18,Public,year round,1,12,72,6821,127,72.20,72,6521,124,71.00,72,5285,128,73.70
1010,Eagle Crest Golf Club,Escondido,California,2492 Old Ranch Rd,92027,-117.0079478,33.1161481,18,Public,year round,1,12,72,6417,136,71.60,72,6035,125,69.30,72,4941,123,69.90
